"Meses","Desviacion","Perimetro_cefalico","sexo"
0,"-3 SD","30.7","niño"
1,"-3 SD","33.8","niño"
2,"-3 SD","35.6","niño"
3,"-3 SD","37.0","niño"
4,"-3 SD","38.0","niño"
5,"-3 SD","38.9","niño"
6,"-3 SD","39.7","niño"
7,"-3 SD","40.3","niño"
8,"-3 SD","40.8","niño"
9,"-3 SD","41.2","niño"
10,"-3 SD","41.6","niño"
11,"-3 SD","41.9","niño"
12,"-3 SD","42.2","niño"
13,"-3 SD","42.5","niño"
14,"-3 SD","42.7","niño"
15,"-3 SD","42.9","niño"
16,"-3 SD","43.1","niño"
17,"-3 SD","43.2","niño"
18,"-3 SD","43.4","niño"
19,"-3 SD","43.5","niño"
20,"-3 SD","43.7","niño"
21,"-3 SD","43.8","niño"
22,"-3 SD","43.9","niño"
23,"-3 SD","44.1","niño"
24,"-3 SD","44.2","niño"
25,"-3 SD","44.3","niño"
26,"-3 SD","44.4","niño"
27,"-3 SD","44.5","niño"
28,"-3 SD","44.6","niño"
29,"-3 SD","44.7","niño"
30,"-3 SD","44.8","niño"
31,"-3 SD","44.8","niño"
32,"-3 SD","44.9","niño"
33,"-3 SD","45.0","niño"
34,"-3 SD","45.1","niño"
35,"-3 SD","45.1","niño"
36,"-3 SD","45.2","niño"
37,"-3 SD","45.3","niño"
38,"-3 SD","45.3","niño"
39,"-3 SD","45.4","niño"
40,"-3 SD","45.4","niño"
41,"-3 SD","45.5","niño"
42,"-3 SD","45.5","niño"
43,"-3 SD","45.6","niño"
44,"-3 SD","45.6","niño"
45,"-3 SD","45.7","niño"
46,"-3 SD","45.7","niño"
47,"-3 SD","45.8","niño"
48,"-3 SD","45.8","niño"
49,"-3 SD","45.9","niño"
50,"-3 SD","45.9","niño"
51,"-3 SD","45.9","niño"
52,"-3 SD","46.0","niño"
53,"-3 SD","46.0","niño"
54,"-3 SD","46.1","niño"
55,"-3 SD","46.1","niño"
56,"-3 SD","46.1","niño"
57,"-3 SD","46.2","niño"
58,"-3 SD","46.2","niño"
59,"-3 SD","46.2","niño"
60,"-3 SD","46.3","niño"
0,"-2 SD","31.9","niño"
1,"-2 SD","34.9","niño"
2,"-2 SD","36.8","niño"
3,"-2 SD","38.1","niño"
4,"-2 SD","39.2","niño"
5,"-2 SD","40.1","niño"
6,"-2 SD","40.9","niño"
7,"-2 SD","41.5","niño"
8,"-2 SD","42.0","niño"
9,"-2 SD","42.5","niño"
10,"-2 SD","42.9","niño"
11,"-2 SD","43.2","niño"
12,"-2 SD","43.5","niño"
13,"-2 SD","43.8","niño"
14,"-2 SD","44.0","niño"
15,"-2 SD","44.2","niño"
16,"-2 SD","44.4","niño"
17,"-2 SD","44.6","niño"
18,"-2 SD","44.7","niño"
19,"-2 SD","44.9","niño"
20,"-2 SD","45.0","niño"
21,"-2 SD","45.2","niño"
22,"-2 SD","45.3","niño"
23,"-2 SD","45.4","niño"
24,"-2 SD","45.5","niño"
25,"-2 SD","45.6","niño"
26,"-2 SD","45.8","niño"
27,"-2 SD","45.9","niño"
28,"-2 SD","46.0","niño"
29,"-2 SD","46.1","niño"
30,"-2 SD","46.1","niño"
31,"-2 SD","46.2","niño"
32,"-2 SD","46.3","niño"
33,"-2 SD","46.4","niño"
34,"-2 SD","46.5","niño"
35,"-2 SD","46.6","niño"
36,"-2 SD","46.6","niño"
37,"-2 SD","46.7","niño"
38,"-2 SD","46.8","niño"
39,"-2 SD","46.8","niño"
40,"-2 SD","46.9","niño"
41,"-2 SD","46.9","niño"
42,"-2 SD","47.0","niño"
43,"-2 SD","47.0","niño"
44,"-2 SD","47.1","niño"
45,"-2 SD","47.1","niño"
46,"-2 SD","47.2","niño"
47,"-2 SD","47.2","niño"
48,"-2 SD","47.3","niño"
49,"-2 SD","47.3","niño"
50,"-2 SD","47.4","niño"
51,"-2 SD","47.4","niño"
52,"-2 SD","47.5","niño"
53,"-2 SD","47.5","niño"
54,"-2 SD","47.5","niño"
55,"-2 SD","47.6","niño"
56,"-2 SD","47.6","niño"
57,"-2 SD","47.6","niño"
58,"-2 SD","47.7","niño"
59,"-2 SD","47.7","niño"
60,"-2 SD","47.7","niño"
0,"-1 SD","33.2","niño"
1,"-1 SD","36.1","niño"
2,"-1 SD","38.0","niño"
3,"-1 SD","39.3","niño"
4,"-1 SD","40.4","niño"
5,"-1 SD","41.4","niño"
6,"-1 SD","42.1","niño"
7,"-1 SD","42.7","niño"
8,"-1 SD","43.3","niño"
9,"-1 SD","43.7","niño"
10,"-1 SD","44.1","niño"
11,"-1 SD","44.5","niño"
12,"-1 SD","44.8","niño"
13,"-1 SD","45.0","niño"
14,"-1 SD","45.3","niño"
15,"-1 SD","45.5","niño"
16,"-1 SD","45.7","niño"
17,"-1 SD","45.9","niño"
18,"-1 SD","46.0","niño"
19,"-1 SD","46.2","niño"
20,"-1 SD","46.4","niño"
21,"-1 SD","46.5","niño"
22,"-1 SD","46.6","niño"
23,"-1 SD","46.8","niño"
24,"-1 SD","46.9","niño"
25,"-1 SD","47.0","niño"
26,"-1 SD","47.1","niño"
27,"-1 SD","47.2","niño"
28,"-1 SD","47.3","niño"
29,"-1 SD","47.4","niño"
30,"-1 SD","47.5","niño"
31,"-1 SD","47.6","niño"
32,"-1 SD","47.7","niño"
33,"-1 SD","47.8","niño"
34,"-1 SD","47.9","niño"
35,"-1 SD","48.0","niño"
36,"-1 SD","48.0","niño"
37,"-1 SD","48.1","niño"
38,"-1 SD","48.2","niño"
39,"-1 SD","48.2","niño"
40,"-1 SD","48.3","niño"
41,"-1 SD","48.4","niño"
42,"-1 SD","48.4","niño"
43,"-1 SD","48.5","niño"
44,"-1 SD","48.5","niño"
45,"-1 SD","48.6","niño"
46,"-1 SD","48.7","niño"
47,"-1 SD","48.7","niño"
48,"-1 SD","48.7","niño"
49,"-1 SD","48.8","niño"
50,"-1 SD","48.8","niño"
51,"-1 SD","48.9","niño"
52,"-1 SD","48.9","niño"
53,"-1 SD","49.0","niño"
54,"-1 SD","49.0","niño"
55,"-1 SD","49.1","niño"
56,"-1 SD","49.1","niño"
57,"-1 SD","49.1","niño"
58,"-1 SD","49.2","niño"
59,"-1 SD","49.2","niño"
60,"-1 SD","49.2","niño"
0,"Mediana","34.5","niño"
1,"Mediana","37.3","niño"
2,"Mediana","39.1","niño"
3,"Mediana","40.5","niño"
4,"Mediana","41.6","niño"
5,"Mediana","42.6","niño"
6,"Mediana","43.3","niño"
7,"Mediana","44.0","niño"
8,"Mediana","44.5","niño"
9,"Mediana","45.0","niño"
10,"Mediana","45.4","niño"
11,"Mediana","45.8","niño"
12,"Mediana","46.1","niño"
13,"Mediana","46.3","niño"
14,"Mediana","46.6","niño"
15,"Mediana","46.8","niño"
16,"Mediana","47.0","niño"
17,"Mediana","47.2","niño"
18,"Mediana","47.4","niño"
19,"Mediana","47.5","niño"
20,"Mediana","47.7","niño"
21,"Mediana","47.8","niño"
22,"Mediana","48.0","niño"
23,"Mediana","48.1","niño"
24,"Mediana","48.3","niño"
25,"Mediana","48.4","niño"
26,"Mediana","48.5","niño"
27,"Mediana","48.6","niño"
28,"Mediana","48.7","niño"
29,"Mediana","48.8","niño"
30,"Mediana","48.9","niño"
31,"Mediana","49.0","niño"
32,"Mediana","49.1","niño"
33,"Mediana","49.2","niño"
34,"Mediana","49.3","niño"
35,"Mediana","49.4","niño"
36,"Mediana","49.5","niño"
37,"Mediana","49.5","niño"
38,"Mediana","49.6","niño"
39,"Mediana","49.7","niño"
40,"Mediana","49.7","niño"
41,"Mediana","49.8","niño"
42,"Mediana","49.9","niño"
43,"Mediana","49.9","niño"
44,"Mediana","50.0","niño"
45,"Mediana","50.1","niño"
46,"Mediana","50.1","niño"
47,"Mediana","50.2","niño"
48,"Mediana","50.2","niño"
49,"Mediana","50.3","niño"
50,"Mediana","50.3","niño"
51,"Mediana","50.4","niño"
52,"Mediana","50.4","niño"
53,"Mediana","50.4","niño"
54,"Mediana","50.5","niño"
55,"Mediana","50.5","niño"
56,"Mediana","50.6","niño"
57,"Mediana","50.6","niño"
58,"Mediana","50.7","niño"
59,"Mediana","50.7","niño"
60,"Mediana","50.7","niño"
0,"+1 SD","35.7","niño"
1,"+1 SD","38.4","niño"
2,"+1 SD","40.3","niño"
3,"+1 SD","41.7","niño"
4,"+1 SD","42.8","niño"
5,"+1 SD","43.8","niño"
6,"+1 SD","44.6","niño"
7,"+1 SD","45.2","niño"
8,"+1 SD","45.8","niño"
9,"+1 SD","46.3","niño"
10,"+1 SD","46.7","niño"
11,"+1 SD","47.0","niño"
12,"+1 SD","47.4","niño"
13,"+1 SD","47.6","niño"
14,"+1 SD","47.9","niño"
15,"+1 SD","48.1","niño"
16,"+1 SD","48.3","niño"
17,"+1 SD","48.5","niño"
18,"+1 SD","48.7","niño"
19,"+1 SD","48.9","niño"
20,"+1 SD","49.0","niño"
21,"+1 SD","49.2","niño"
22,"+1 SD","49.3","niño"
23,"+1 SD","49.5","niño"
24,"+1 SD","49.6","niño"
25,"+1 SD","49.7","niño"
26,"+1 SD","49.9","niño"
27,"+1 SD","50.0","niño"
28,"+1 SD","50.1","niño"
29,"+1 SD","50.2","niño"
30,"+1 SD","50.3","niño"
31,"+1 SD","50.4","niño"
32,"+1 SD","50.5","niño"
33,"+1 SD","50.6","niño"
34,"+1 SD","50.7","niño"
35,"+1 SD","50.8","niño"
36,"+1 SD","50.9","niño"
37,"+1 SD","51.0","niño"
38,"+1 SD","51.0","niño"
39,"+1 SD","51.1","niño"
40,"+1 SD","51.2","niño"
41,"+1 SD","51.3","niño"
42,"+1 SD","51.3","niño"
43,"+1 SD","51.4","niño"
44,"+1 SD","51.4","niño"
45,"+1 SD","51.5","niño"
46,"+1 SD","51.6","niño"
47,"+1 SD","51.6","niño"
48,"+1 SD","51.7","niño"
49,"+1 SD","51.7","niño"
50,"+1 SD","51.8","niño"
51,"+1 SD","51.8","niño"
52,"+1 SD","51.9","niño"
53,"+1 SD","51.9","niño"
54,"+1 SD","52.0","niño"
55,"+1 SD","52.0","niño"
56,"+1 SD","52.1","niño"
57,"+1 SD","52.1","niño"
58,"+1 SD","52.1","niño"
59,"+1 SD","52.2","niño"
60,"+1 SD","52.2","niño"
0,"+2 SD","37.0","niño"
1,"+2 SD","39.6","niño"
2,"+2 SD","41.5","niño"
3,"+2 SD","42.9","niño"
4,"+2 SD","44.0","niño"
5,"+2 SD","45.0","niño"
6,"+2 SD","45.8","niño"
7,"+2 SD","46.4","niño"
8,"+2 SD","47.0","niño"
9,"+2 SD","47.5","niño"
10,"+2 SD","47.9","niño"
11,"+2 SD","48.3","niño"
12,"+2 SD","48.6","niño"
13,"+2 SD","48.9","niño"
14,"+2 SD","49.2","niño"
15,"+2 SD","49.4","niño"
16,"+2 SD","49.6","niño"
17,"+2 SD","49.8","niño"
18,"+2 SD","50.0","niño"
19,"+2 SD","50.2","niño"
20,"+2 SD","50.4","niño"
21,"+2 SD","50.5","niño"
22,"+2 SD","50.7","niño"
23,"+2 SD","50.8","niño"
24,"+2 SD","51.0","niño"
25,"+2 SD","51.1","niño"
26,"+2 SD","51.2","niño"
27,"+2 SD","51.4","niño"
28,"+2 SD","51.5","niño"
29,"+2 SD","51.6","niño"
30,"+2 SD","51.7","niño"
31,"+2 SD","51.8","niño"
32,"+2 SD","51.9","niño"
33,"+2 SD","52.0","niño"
34,"+2 SD","52.1","niño"
35,"+2 SD","52.2","niño"
36,"+2 SD","52.3","niño"
37,"+2 SD","52.4","niño"
38,"+2 SD","52.5","niño"
39,"+2 SD","52.5","niño"
40,"+2 SD","52.6","niño"
41,"+2 SD","52.7","niño"
42,"+2 SD","52.8","niño"
43,"+2 SD","52.8","niño"
44,"+2 SD","52.9","niño"
45,"+2 SD","53.0","niño"
46,"+2 SD","53.0","niño"
47,"+2 SD","53.1","niño"
48,"+2 SD","53.1","niño"
49,"+2 SD","53.2","niño"
50,"+2 SD","53.2","niño"
51,"+2 SD","53.3","niño"
52,"+2 SD","53.4","niño"
53,"+2 SD","53.4","niño"
54,"+2 SD","53.5","niño"
55,"+2 SD","53.5","niño"
56,"+2 SD","53.5","niño"
57,"+2 SD","53.6","niño"
58,"+2 SD","53.6","niño"
59,"+2 SD","53.7","niño"
60,"+2 SD","53.7","niño"
0,"+3 SD","38.3","niño"
1,"+3 SD","40.8","niño"
2,"+3 SD","42.6","niño"
3,"+3 SD","44.1","niño"
4,"+3 SD","45.2","niño"
5,"+3 SD","46.2","niño"
6,"+3 SD","47.0","niño"
7,"+3 SD","47.7","niño"
8,"+3 SD","48.3","niño"
9,"+3 SD","48.8","niño"
10,"+3 SD","49.2","niño"
11,"+3 SD","49.6","niño"
12,"+3 SD","49.9","niño"
13,"+3 SD","50.2","niño"
14,"+3 SD","50.5","niño"
15,"+3 SD","50.7","niño"
16,"+3 SD","51.0","niño"
17,"+3 SD","51.2","niño"
18,"+3 SD","51.4","niño"
19,"+3 SD","51.5","niño"
20,"+3 SD","51.7","niño"
21,"+3 SD","51.9","niño"
22,"+3 SD","52.0","niño"
23,"+3 SD","52.2","niño"
24,"+3 SD","52.3","niño"
25,"+3 SD","52.5","niño"
26,"+3 SD","52.6","niño"
27,"+3 SD","52.7","niño"
28,"+3 SD","52.9","niño"
29,"+3 SD","53.0","niño"
30,"+3 SD","53.1","niño"
31,"+3 SD","53.2","niño"
32,"+3 SD","53.3","niño"
33,"+3 SD","53.4","niño"
34,"+3 SD","53.5","niño"
35,"+3 SD","53.6","niño"
36,"+3 SD","53.7","niño"
37,"+3 SD","53.8","niño"
38,"+3 SD","53.9","niño"
39,"+3 SD","54.0","niño"
40,"+3 SD","54.1","niño"
41,"+3 SD","54.1","niño"
42,"+3 SD","54.2","niño"
43,"+3 SD","54.3","niño"
44,"+3 SD","54.3","niño"
45,"+3 SD","54.4","niño"
46,"+3 SD","54.5","niño"
47,"+3 SD","54.5","niño"
48,"+3 SD","54.6","niño"
49,"+3 SD","54.7","niño"
50,"+3 SD","54.7","niño"
51,"+3 SD","54.8","niño"
52,"+3 SD","54.8","niño"
53,"+3 SD","54.9","niño"
54,"+3 SD","54.9","niño"
55,"+3 SD","55.0","niño"
56,"+3 SD","55.0","niño"
57,"+3 SD","55.1","niño"
58,"+3 SD","55.1","niño"
59,"+3 SD","55.2","niño"
